mergeid,sample,int_date,phase,fcall,attempts,refusal,stimes,ilang,p1version,cregion,state,density,usr,scregion,sstate,susr,igender,irace,llitext1,llitext2,qs1,cpitext1,cpitext2,qa1,qa1a,qb2,qb3,qb4,qa12,qa14a,qa14b,qa14c,qa14d,qa14e,qa15a,qa15b,qb18a,qb18b,q25a,q25b,q25c,q25d,q25f,q25g,q25i,q25k,q25n,q25p,qa26,qa27,qb27,qb28,qb29,qa30,qb30,qb31,oftvote,qb32,qb33,qb33a,cheat,qa36a,qa36b,qa36c,qa36d,qa37a,qa37b,qa37c,qa37d,q40,qb42a,qb42b,qb42c,qb42d,qb46,q50r,q50u,q50y,q50aa,q50cc,q50ee,q50hh,qbx,qe2,qe1,qe3,employ1,employ7,qe11,q51jj,q51ll,q51mm,q51nn,q51pp,q51qq,q51rr,qb52,qb52x,qb53a,qb53b,qb53c,qb54,qb54a,qb55a,qb55b,qa62,qa77,qa77a,qa77b,qa78,qb80,qa126,qa126a,qa126b,qa127,qa128,qa129,qa143,ideoconsist,typogroups,sex,age,educ2,hisp,racecmb,racethn,racethn2,birth_hisp,usborn,marital,citizen,relig,chr,born,attend,income,inchi,reg,party,partyln,partystr,partysum,qb166,qb167,qa168,qa169,ideo,partyideo,hh1,hh3,adults,child,ql1,ql1a,qc1,ll,cp,money2,ckinfo,iphoneuse,hphoneuse,weight
1101118,1,61117,1,170611,1,0,1,1,2,3,13,4,S,3,13,S,1,3,1,2, , , ,1,2, , , ,1,2,2,2,2,2,2,4, , ,1,2,1,1,1,2,1,2,2, ,1,1, , , ,2, , ,1, , , , ,2,1,9,1,1,2,1,2,1, , , , , ,1,9,1,1,1,2,1, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,2,2, ,2,2, ,2, ,2,1,3,2,1,5,7,2,83,6,2,1,1,1, ,1,5, ,1, ,2,4,9,2,1,1, ,1,1, , ,2, ,3,2,1, ,1,0,1, , ,1,1, , ,2,2,1
1101119,1,61117,1,170611,1,0,1,1,2,2,17,2,U,2,17,U,1,3,1,1, , , ,2,2, , , ,2,2,2,2,2,2,3,3, , ,1,2,2,2,2,2,2,1,2, ,1,2, , , ,1, , ,1, , , , ,1,1,1,1,1,2,1,2,4, , , , , ,1,1,1,2,1,2,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,2,1,1, ,1, ,2, ,2,2,1,1,1,4,8,1,90,9,2,1,1,1, ,1,6, ,1, ,2,5,10, ,1,3,1, ,1, , ,1, ,3,3,1, ,1,0,1, , ,1,1, , ,2,2,1
1101123,1,61417,1,170611,2,1,2,1,2,3,28,1,R,3,28,R,1,3,1,2, , , ,1,1, , , ,1,9,1,2,9,2,2,3, , ,1,2,1,1,2,2,1,1,2, ,2,2, , , ,2, , ,1, , , , ,2,1,1,2,1,2,1,2,1, , , , , ,9,2,2,1,2,1,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,1,2, ,2,9, ,1,2, ,2,4,9,1,7,8,1,80,5,2,5,4,5, ,1,1, ,1, ,1,2,2, ,1,1, ,2,1, , ,1, ,2,1,2,2,2,0,2,1, ,1,0, , ,1,2,4.064516129032258
1101124,1,61117,1,170611,1,0,1,1,2,3,1,2,U,3,1,U,1,1,1,2, , , ,1,1, , , ,1,2,1,2,1,2,2,4, , ,1,2,1,2,2,1,1,1,2, ,2,2, , , ,1, , ,1, , , , ,2,2,2,1,1,2,1,2,1, , , , , ,1,2,1,1,1,1,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,1,2, ,1,1, ,2, ,9,2,4,2,1,8,8,1,59,6,2,1,1,1, ,1,1, ,1, ,9,2,9,1,1,3,1, ,1, , ,2, ,3,3,2,2,2,0,1, , ,1,1, , ,2,2,1.3548387096774193
1101132,1,61117,1,170611,1,0,1,1,2,1,36,3,S,1,36,S,2,4,2,2, , , ,2,1, , , ,1,2,1,2,1,2,3,3, , ,1,1,1,2,1,1,2,1,2, ,1,3, , , ,2, , ,2, , , , ,2,9,2,1,2,2,2,1,3, , , , , ,1,1,1,2,1,2,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,2,1,1, ,1, ,2, ,2,1,2,2,2,0,5,2,81,3,2,1,1,1, ,1,5, ,2, ,2,5,3, ,1,3,2, ,2, , , ,1,2,3,1, ,1,0,1, , ,1,1, , ,2,2,2.903225806451613
1101136,1,61417,1,170611,3,0,3,1,2,4,35,1,U,3,48,U,2,2,2,1, , , ,2,1, , , ,2,2,3,1,2,2,4,1, , ,1,2,2,1,1,1,2,1,1, ,1,1, , , ,2, , ,2, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,2,1,1,2, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,3,2,9,-6,3,2,31,6,2,2,2,2, ,1,1, ,13, ,1,1,6, ,1,2, ,1,2, , , ,1,2,4,4,2,2,2,1, , ,1,1, , ,2,2,2.6774193548387095
1101143,1,61117,1,170611,1,0,1,1,2,2,55,2,R,2,55,R,2,2,2,2, , , ,2,1, , , ,2,1,1,1,2,1,4,1, , ,1,1,2,1,1,1,1,2,2, ,1,2, , , ,2, , ,1, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,2,1,1,2, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,2,1,1, ,1, ,1,1, ,2,3,2,2,-4,1,1,70,4,2,1,1,1, ,1,1, ,1, ,2,4,7, ,1,3,2, ,2, , , ,2,3,3,2,2,2,0,1, , ,1,1, , ,2,2,1.7096774193548387
1101151,1,61717,1,170611,4,1,4,1,2,3,1,1,R,3,1,R,1,2,2,2, , , ,1,1, , , ,2,2,1,1,1,2,1,4, , ,2,2,1,2,2,1,2,2,1, ,2,2, , , ,1, , ,2, , , , ,2,1,1,1,1,2,1,1,1, , , , , ,1,2,1,1,1,2,2, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,1,2, ,2,1, ,2, ,2,2,4,3,1,2,6,2,73,5,2,1,1,1, ,1,5, ,1, ,1,1,3, ,1,3,1, ,1, , ,2, ,2,3,1, ,1,0,1, , ,1,1, , ,2,2,1.129032258064516
1101155,1,61217,1,170611,3,0,3,1,2,1,25,4,S,1,25,S,2,1,2,1, , , ,1,9, , , ,1,3,3,3,2,2,1,1, , ,1,2,2,1,1,1,2,1,2, ,1,2, , , ,1, , ,2, , , , ,2,1,2,1,2,1,1,1,1, , , , , ,2,1,1,1,2,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,2, ,2,1,1,4,2,-4,4,2,64,5,2,1,1,1, ,1,1, ,2, ,2,6,6, ,1,3,9, ,9, , , , ,3,3,3,3,3,0,1, , ,1,1, , ,2,2,2.7419354838709675
1101157,1,61117,1,170611,1,0,1,1,2,2,26,4,S,2,26,S,2,2,1,2, , , ,1,1, , , ,1,1,1,1,9,2,2,2, , ,1,1,2,1,5,5,2,2,1, ,1,3, , , ,3, , ,1, , , , ,1,2,1,2,2,9,9,1,1, , , , , ,2,1,2,1,1,5,1, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,9, ,1,9, ,1,1,9,2,-6,3,1,47,4,2,1,1,1, ,1,1, ,11,1,2,9,2, ,1,3,9, ,9, , , , ,3,3,2,2,2,0,1, , ,1,1, , ,2,2,3.193548387096774
1101159,1,61117,1,170611,1,0,1,1,2,3,51,1,S,3,51,S,2,3,2,2, , , ,1,1, , , ,1,2,3,2,3,2,2,4, , ,1,2,5,2,9,5,1,1,9, ,2,1, , , ,1, , ,1, , , , ,2,1,2,1,1,2,1,2,2, , , , , ,1,1,1,2,5,2,1, , , , , , , ,1,2, ,1, , , , , , , , , , , , ,1,2, ,1,1, ,2, ,1,1,2,2,9,4,8,2,28,8,1,9,3,3,1, ,1, ,12, , ,2,7, ,1,3,1, ,1, , ,1, ,3,3,4,3,3,1,1, , ,1,1, , ,2,2,2.3548387096774195
1101161,1,61117,1,170611,1,0,1,1,2,3,24,4,S,3,24,S,2,2,1,1, , , ,2,1, , , ,2,2,1,1,3,1,4,2, , ,2,2,2,1,1,1,2,1,2, ,1,2, , , ,2, , ,1, , , , ,1,2,1,2,2,1,1,1,2, , , , , ,2,1,2,1,1,1,2, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,1,1,1, ,2, ,1,1, ,2,2,1,2,-6,2,1,82,8,2,1,1,1, ,1,5, ,1, ,9,2,6, ,1,1, ,2,1, , ,9, ,3,2,2,2,2,0,1, , ,1,1, , ,2,2,1.1935483870967742
1101175,1,61617,1,170611,3,1,3,1,2,2,18,3,U,2,18,U,2,3,1,2, , , ,2,2, , , ,2,1,1,1,1,1,3,3, , ,2,1,2,1,1,1,1,2,2, ,1,3, , , ,1, , ,1, , , , ,2,2,2,2,2,1,1,1,1, , , , , ,1,2,1,2,1,1,2, , , , , , , ,2,2, ,2, , , , , , , , , , , , ,1,1,2, ,2, ,1,1, ,1,3,3,2,-2,2,2,81,3,2,2,2,2, ,1,5, ,1, ,1,2,3, ,1,2, ,1,2, , , ,1,3,4,1, ,1,0,1, , ,1,1, , ,2,2,3
1101177,1,61117,1,170611,1,0,1,1,2,3,10,2,S,3,10,S,2,9,2,2, , , ,1,2, , , ,1,1,1,1,1,1,2,2, , ,2,1,1,2,2,2,1,1,1, ,2,1, , , ,2, , ,1, , , , ,1,1,1,1,2,1,1,1,1, , , , , ,1,2,2,2,1,2,1, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,1,1,1, ,1, ,1,1, ,2,3,2,1,4,6,1,78,4,2,1,1,1, ,1,5, ,1, ,2,2,10, ,1,3,9, ,9, , , , ,2,3,1, ,1,0,2, , ,1,0, , ,1,1,4.161290322580645
1101183,1,61117,1,170611,1,0,1,1,2,4,6,5,U,4,6,U,2,1,2,2, , , ,2,1, , , ,2,1,2,1,3,1,3,2, , ,5,1,2,1,1,1,5,2,1, ,2,1, , , ,8, , ,1, , , , ,1,2,1,2,2,1,1,1,1, , , , , ,2,1,2,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,2,2,1,2,-8,1,1,54,6,2,1,1,1, ,1,1, ,10, , ,5,9,1,1,2, ,1,2, , , ,2,3,4,4,2,2,2,1, , ,1,1, , ,2,2,1.3870967741935483
1101197,1,61117,1,170611,1,0,1,1,2,2,39,4,S,2,39,S,2,2,2,1, , , ,1,2, , , ,2,3,3,2,2,2,1,4, , ,1,2,5,2,9,1,5,1,1, ,2,1, , , ,9, , ,1, , , , ,2,2,1,2,1,2,1,2,1, , , , , ,5,5,5,2,2,2,5, , , , , , , ,5,5, ,1, , , , , , , , , , , , ,9,2, ,9,9, ,9, , ,1,9,1,1,1,8,1,55,3,2,5,4,5, ,1,1, ,12, , ,5,3, ,1,3,9, ,9, , , , ,9,3,2,2,2,0,1, , ,1,1, , ,2,2,2.7419354838709675
1101205,1,61217,1,170611,2,0,2,1,2,3,37,2,S,3,37,S,1,2,2,2, , , ,2,1, , , ,9,1,2,2,2,1,3,3, , ,1,2,2,1,2,2,2,1,1, ,2,9, , , ,2, , ,5, , , , ,1,2,1,2,1,2,1,2,4, , , , , ,1,2,2,2,2,2,1, , , , , , , ,2,2, ,2, , , , , , , , , , , , ,1,1,1, ,2, ,1,2, ,9,3,4,1,2,0,2,58,2,2,9,9,9, ,1,5, ,99,1,2,6,2, ,3,9,9, ,9, , , , ,2,9,5,4,3,1,1, , ,1,1, , ,2,2,6.032258064516129
1101221,1,61117,1,170608,4,0,4,1,2,3,24,4,S,3,24,S,2,3,1,1, , , ,9, , , , ,2,3,1,9,2,2,4,4, , ,1,2,5,2,1,1,5,1,1, ,2,1, , , ,9, , ,1, , , , ,2,2,2,2,9,2,1,2,1, , , , , ,2,2,1,2,1,1,2, , , , , , , ,1,9, ,2, , , , , , , , , , , , ,2,1,9, ,2, ,1,1, ,2,3,3,9,0,5,2,86,6,2,1,1,1, ,1,5, ,2, ,2,2,10, ,1,1, ,2,1, , ,2, ,3,2,1, ,1,0,1, , ,1,1, , ,2,2,1
1101223,1,61117,1,170608,3,0,3,1,2,1,42,3,U,1,42,U,2,3,2,2, , , ,1,1, , , ,1,3,1,1,2,2,8,3, , ,1,1,1,2,2,1,1,2,1, ,2,1, , , ,2, , ,1, , , , ,2,2,2,2,1,2,1,2,1, , , , , ,1,1,2,1,1,1,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,1,1,1, ,1, ,1,2, ,2,2,2,1,2,6,1,48,5,2,1,1,1, ,1,4, ,2, ,2,3,6, ,1,1, ,2,1, , ,2, ,2,1,3,3,3,0,1, , ,1,1, , ,2,2,4.064516129032258
1101228,1,61117,1,170610,2,0,2,1,2,4,41,1,R,4,41,R,2,2,1,2, , , ,1,1, , , ,1,1,9,2,2,2,4,4, , ,1,2,1,2,2,2,1,1,1, ,1,3, , , ,8, , ,3, , , , ,2,2,2,2,1,2,1,2,1, , , , , ,1,2,1,1,2,1,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,2,9, , ,1, ,2, ,2,1,3,3,1,8,7,1,65,3,2,1,1,1, ,1,3, ,12, , ,6,4, ,1,3,1, ,1, , ,2, ,2,3,1, ,1,0,2, , ,1,0, , ,1,1,5.193548387096775
1101235,1,61117,1,170610,2,0,2,1,2,2,38,1,R,2,38,R,2,1,1,1, , , ,1,2, , , ,1,2,1,2,2,2,2,3, , ,5,2,1,2,2,1,5,1,2, ,1,1, , , ,1, , ,2, , , , ,1,2,2,1,1,2,1,1,1, , , , , ,1,1,1,1,1,5,2, , , , , , , ,1,2, ,5, , , , , , , , , , , , ,2,1,2, ,1, ,2, ,2,1,2,2,3,4,8,1,65,6,2,1,1,1, ,1,1, ,2, ,2,5,7, ,1,1, ,1,1, , ,2, ,2,1,2,2,2,0,1, , ,1,1, , ,2,2,1.032258064516129
1101238,1,61117,1,170610,2,0,2,1,2,1,36,3,S,1,36,S,2,2,2,1, , , ,2,1, , , ,1,1,1,1,2,1,3,3, , ,5,1,2,5,1,1,2,2,1, ,2,2, , , ,2, , ,1, , , , ,1,1,1,2,2,1,1,1,1, , , , , ,2,1,2,1,1,5,2, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,2,1,9, ,9, ,1,9, ,1,2,2,2,-8,2,2,57,4,2,1,1,1, ,1,3, ,2, ,2,5,6, ,1,1, ,2,1, , ,9, ,3,2,2,2,2,0,1, , ,1,1, , ,2,2,2.3870967741935485
1101241,1,61417,1,170610,3,1,3,1,2,1,36,1,R,1,36,R,2,2,2,2, , , ,2,1, , , ,9,2,2,1,1,1,1,8, , ,2,1,5,2,1,5,2,2,2, ,1,3, , , ,9, , ,1, , , , ,2,1,1,1,2,1,9,1,1, , , , , ,9,2,2,2,2,2,2, , , , , , , ,2,1, ,5, , , , , , , , , , , , ,1,1,9, ,1, ,2, ,2,3,4,2,2,-1,7,2,97,3,2,1,1,1, ,1,5, ,1, ,2,4,2, ,1,1, ,1,1, , ,1, ,2,1,1, ,1,0,2, , ,1,0, , ,1,1,8.161290322580644
1101245,1,61117,1,170610,2,0,2,1,2,2,20,3,S,2,20,S,2,4,1,2, , , ,1,1, , , ,2,2,1,2,1,2,2,3, , ,1,2,1,2,2,2,1,1,2, ,2,2, , , ,1, , ,1, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,1,2,1,2,2,2,1, , , , , , , ,2,2, ,2, , , , , , , , , , , , ,2,2, ,1,1, ,2, ,1,2,4,3,1,10,7,2,81,4,2,1,1,1, ,1,5, ,1, ,1,1,5, ,1,1, ,1,1, , ,1, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1.2258064516129032
1101252,1,61517,1,170610,4,1,4,1,2,4,6,4,U,4,6,U,2,3,1,2, , , ,1,2, , , ,9,2,1,1,1,3,2,3, , ,5,1,5,2,9,9,5,1,5, ,2,1, , , ,9, , ,2, , , , ,2,1,2,1,2,9,2,1,1, , , , , ,2,2,1,2,2,1,2, , , , , , , ,2,2, ,1, , , , , , , , , , , , ,2,2, ,2,2, ,2, ,2,1,3,3,1,0,5,2,85,6,2,1,1,1, ,1,5, ,1, ,1,2,10, ,1,1, ,1,1, , ,1, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1
1101263,1,61117,1,170610,2,0,2,1,2,3,1,2,U,3,1,U,1,3,2,2, , , ,2,1, , , ,1,1,1,1,1,1,3,1, , ,2,2,2,2,1,1,1,1,2, ,1,2, , , ,2, , ,2, , , , ,2,1,1,1,1,1,2,1,1, , , , , ,2,1,1,2,2,2,2, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,2, ,1,2,2,1,-2,4,2,53,3,2,2,2,2, ,1,2, ,1, ,1,4,3, ,3,3,2, ,2, , , ,2,2,3,1, ,1,0,1, , ,1,1, , ,2,2,4.451612903225806
1101269,1,61117,1,170610,2,0,2,1,2,3,10,4,S,3,10,S,2,3,1,1, , , ,2,1, , , ,9,2,2,1,2,1,4,1, , ,1,1,5,1,2,1,2,1,1, ,1,1, , , ,1, , ,1, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,2, ,1,1, ,1,2,1,2,-5,2,2,60,8,2,1,1,1, ,1,1, ,1, ,2,6,7, ,1,2, ,1,2, , , ,2,5,5,2,2,2,0,1, , ,1,1, , ,2,2,1.4838709677419355
1101276,1,61117,1,170610,2,0,2,1,2,3,12,5,S,3,12,S,2,2,1,2, , , ,2,1, , , ,1,2,2,1,2,2,4,4, , ,5,1,5,5,5,5,2,2,9, ,1,1, , , ,2, , ,1, , , , ,1,2,1,2,2,1,1,1,1, , , , , ,2,1,1,1,1,2,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,2, ,1,2, ,1,1,2,2,-4,3,1,37,6,2,2,2,2, ,1,6, ,12, , ,4,7, ,1,3,2, ,2, , , ,2,3,3,2,1,1,1,1, , ,1,1, , ,2,2,1.5161290322580645
1101279,1,61117,1,170610,2,0,2,1,2,2,55,3,S,2,55,S,1,4,1,1, , , ,1,1, , , ,2,1,1,3,1,9,3,2, , ,1,1,2,1,2,2,1,1,2, ,2,2, , , ,2, , ,2, , , , ,1,2,2,2,2,1,2,1,2, , , , , ,2,2,2,2,1,1,2, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,2,2, ,1,2, ,1,2, ,2,4,4,9,2,4,1,65,3,2,1,1,1, ,1,1, ,1, ,1,4,2, ,1,2, ,1,2, , , ,1,2,4,3,3,3,0,1, , ,1,1, , ,2,2,3.3548387096774195
1101290,1,61417,1,170610,3,1,3,1,2,4,16,1,U,4,16,U,2,2,1,2, , , ,2,1, , , ,1,9,1,1,9,2,3,2, , ,2,5,5,5,5,1,2,2,1, ,2,1, , , ,2, , ,1, , , , ,1,2,1,2,1,1,1,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,2, ,2, ,1,2, ,1,1,1,1,-6,3,2,68,6,1,1,3,3,1, ,1, ,2, ,2,2,6, ,1,2, ,1,2, , , ,1,4,5,2,2,2,0,1, , ,1,1, , ,2,2,1.1935483870967742
1101299,1,61117,1,170610,2,0,2,1,2,2,29,4,U,2,29,U,2,1,2,1, , , ,1,1, , , ,2,1,1,2,2,2,3,3, , ,1,2,2,5,2,2,2,1,1, ,1,1, , , ,9, , ,2, , , , ,2,1,2,1,1,2,2,2,1, , , , , ,1,2,2,1,5,2,1, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,1,2, ,1,2, ,1,2, ,1,3,3,2,3,7,1,85,3,2,9,9,9, ,1,3, ,1, ,1,6,3, ,1,1, ,1,1, , ,1, ,3,2,1, ,1,0,1, , ,1,1, , ,2,2,2
1101307,1,61117,1,170610,2,0,2,1,2,1,36,3,S,1,36,S,1,5,1,2, , , ,2,1, , , ,2,1,1,1,2,1,4,1, , ,2,1,2,1,1,1,2,2,1, ,1,1, , , ,2, , ,1, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,1,2,2,-10,1,2,67,8,2,1,1,1, ,1,1, ,2, ,2,2,4, ,1,2, ,1,2, , , ,1,5,5,2,2,2,0,1, , ,1,1, , ,2,2,1.1935483870967742
1101313,1,61117,1,170610,2,0,2,1,2,1,9,4,U,1,9,U,1,3,1,1, , , ,2,1, , , ,2,1,1,3,2,3,3,2, , ,2,1,2,2,1,1,2,2,1, ,1,1, , , ,2, , ,3, , , , ,1,2,1,2,1,1,2,1,1, , , , , ,2,2,2,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,2, ,2,2,4,3,1,-6,1,2,48,6,2,1,1,1, ,1,1, ,5, , ,3,8, ,3,2, ,1,2, , , ,1,3,4,4,2,2,2,1, , ,1,1, , ,2,2,1.741935483870968
1101316,1,61717,1,170610,4,1,4,1,2,3,10,4,S,3,10,S,2,3,1,1, , , ,2,2, , , ,9,9,1,2,1,2,2,1, , ,2,1,1,1,2,2,1,1,1, ,1,1, , , ,1, , ,1, , , , ,1,9,9,1,1,1,2,1,2, , , , , ,5,5,1,2,2,2,1, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,1,1,2, ,9, ,1,2, ,3,9,3,3,0,7,2,90,3,2,1,1,1, ,1,1, ,1, ,1,2,5, ,1,1, ,2,1, , ,1, ,2,1,2,2,2,0,1, , ,1,1, , ,2,2,3.903225806451613
1101321,1,61117,1,170610,2,0,2,1,2,1,50,1,R,1,50,R,2,4,1,1, , , ,2,1, , , ,2,1,2,1,2,9,4,2, , ,2,1,2,1,1,1,2,2,1, ,1,2, , , ,2, , ,1, , , , ,1,2,1,2,2,1,2,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,1,1,2,-10,1,2,39,6,2,1,1,1, ,1,6, ,12, , ,6,4, ,1,2, ,1,2, , , ,2,5,5,1, ,1,0,1, , ,1,1, , ,2,2,1.9354838709677418
1101323,1,61117,1,170610,2,0,2,1,2,4,53,1,R,4,53,R,2,2,2,2, , , ,9, , , , ,1,1,2,1,1,2,8,8, , ,2,1,2,1,1,5,2,2,1, ,1,3, , , ,8, , ,5, , , , ,9,9,9,1,9,9,9,1,4, , , , , ,2,1,2,1,9,2,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,9, ,1, ,2, ,1,2,1,2,9,-9,0,2,58,3,2,4,4,5, ,1,3, ,9, , ,6,3, ,3,4,9, ,9, , , , ,9,9,2,2,2,0,1, , ,1,1, , ,2,2,4.193548387096774
1101327,1,61117,1,170610,2,0,2,1,2,2,26,5,S,2,26,S,2,3,2,1, , , ,2,1, , , ,2,2,1,1,2,1,2,3, , ,1,1,1,2,2,2,2,1,2, ,2,1, , , ,2, , ,4, , , , ,2,2,2,2,1,2,1,1,1, , , , , ,2,2,1,1,1,2,1, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,1,1,1, ,2, ,1,1, ,1,1,1,3,4,6,1,76,3,2,1,1,1, ,1,1, ,2, ,2,5,7, ,3,1, ,2,1, , ,2, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,2.32258064516129
1101349,1,61117,1,170608,4,0,4,1,2,3,12,5,S,3,12,S,2,4,2,2, , , ,2,2, , , ,2,2,1,2,2,2,2,4, , ,2,2,1,2,2,1,1,1,2, ,2,2, , , ,2, , ,1, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,1,1,1,1,2,1,1, , , , , , , ,1,2, ,2, , , , , , , , , , , , ,1,2, ,2,1, ,2, ,2,2,2,1,1,4,8,1,62,4,2,1,1,1, ,1,5, ,2, ,2,4,8, ,1,1, ,2,1, , ,2, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1.5483870967741935
1101353,1,61117,1,170608,3,0,3,1,2,3,51,5,S,3,51,S,2,3,1,2, , , ,2,2, , , ,2,1,1,1,1,2,2,2, , ,1,1,1,2,2,1,2,1,2, ,1,1, , , ,1, , ,1, , , , ,1,1,1,1,1,1,1,1,1, , , , , ,1,1,2,1,1,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,2,1,1, ,1, ,2, ,2,1,1,1,1,2,5,1,23,6,2,1,1,1, ,1,6, ,1, ,1,4,6, ,1,3,1, ,1, , ,1, ,3,3,4,4,3,0,1, , ,1,1, , ,2,2,2.3870967741935485
1101361,1,61117,1,170608,3,0,3,1,2,4,6,3,U,4,6,U,2,3,1,2, , , ,2,1, , , ,2,2,2,2,2,1,4,4, , ,1,1,2,2,1,1,2,1,2, ,1,1, , , ,2, , ,1, , , , ,1,2,1,2,1,2,1,2,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,3,1,1, ,2, ,1,2, ,1,1,1,1,-4,1,2,62,6,2,1,1,1, ,1,1, ,12, , ,5,9,1,1,2, ,2,2, , , ,2,3,4,2,2,2,0,1, , ,1,1, , ,2,2,1.2580645161290323
1101369,1,61117,1,170608,3,0,3,1,2,4,6,5,S,4,6,S,1,1,2,1, , , ,2,1, , , ,2,1,2,1,2,2,4,2, , ,5,1,2,1,1,1,2,2,1, ,1,1, , , ,2, , ,1, , , , ,1,2,1,2,2,1,1,1,1, , , , , ,2,1,1,1,1,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,2,1,1, ,2, ,1,1, ,1,1,2,2,-9,1,2,37,6,2,1,1,1, ,1,1, ,11,2, ,6,9,1,1,2, ,1,2, , , ,1,4,5,5,3,3,2,1, , ,1,1, , ,2,2,3.3225806451612905
1101384,1,61117,1,170608,3,0,3,1,2,1,25,3,S,1,25,S,1,3,1,2, , , ,1,1, , , ,1,2,1,2,1,2,1,4, , ,1,2,1,2,2,1,1,1,2, ,2,2, , , ,1, , ,1, , , , ,2,1,1,1,1,2,1,2,1, , , , , ,1,1,1,1,1,2,1, , , , , , , ,2,1, ,2, , , , , , , , , , , , ,2,2, ,1,2, ,2, ,2,1,1,1,1,6,8,2,75,4,2,1,1,1, ,1,3, ,1, ,2,5,4, ,1,1, ,1,1, , ,2, ,2,1,1, ,1,0,1, , ,1,1, , ,2,2,1.2903225806451615
1101385,1,61117,1,170608,3,0,3,1,2,3,51,3,S,3,51,S,2,1,2,1, , , ,9, , , , ,2,9,2,2,1,2,2,3, , ,1,1,2,2,2,2,1,1,1, ,2,3, , , ,2, , ,1, , , , ,2,1,2,1,1,2,1,2,1, , , , , ,2,1,1,1,2,2,1, , , , , , , ,1,1, ,1, , , , , , , , , , , , ,2,1,2, ,1, ,2, ,2,1,2,1,2,0,6,2,59,5,2,1,1,1, ,1,5, ,12, , ,5,7, ,1,1, ,1,1, , ,1, ,3,2,1, ,1,0,1, , ,1,1, , ,2,2,1.6451612903225807
1101392,1,61117,1,170609,3,0,3,1,2,3,47,3,U,3,47,U,2,4,1,2, , , ,1,2, , , ,2,9,1,2,2,2,3,2, , ,1,1,1,2,2,2,1,2,2, ,1,3, , , ,2, , ,1, , , , ,1,2,1,2,2,1,9,1,4, , , , , ,2,2,1,2,2,1,2, , , , , , , ,1,1, ,2, , , , , , , , , , , , ,1,1,1, ,2, ,2, ,2,1,3,4,1,6,4,2,79,3,2,1,1,1, ,1,5, ,1, ,1,2,10, ,1,2, ,1,2, , , ,2,9,9,1, ,1,0,2, , ,1,0, , ,1,1,8.161290322580644
